Date,Close
02/01/2015 16:30:00,296.67
05/01/2015 16:30:00,292.89
06/01/2015 16:30:00,293.07
07/01/2015 16:30:00,294.95
08/01/2015 16:30:00,302.67
09/01/2015 16:30:00,295.81
12/01/2015 16:30:00,298.04
13/01/2015 16:30:00,295.98
14/01/2015 16:30:00,292.55
15/01/2015 16:30:00,292.72
16/01/2015 16:30:00,295.47
19/01/2015 16:30:00,298.38
20/01/2015 16:30:00,302.85
21/01/2015 16:30:00,306.11
22/01/2015 16:30:00,308.51
23/01/2015 16:30:00,309.54
26/01/2015 16:30:00,309.88
27/01/2015 16:30:00,301.64
28/01/2015 16:30:00,302.85
29/01/2015 16:30:00,304.56
30/01/2015 16:30:00,305.93
02/02/2015 16:30:00,303.36
03/02/2015 16:30:00,306.79
04/02/2015 16:30:00,308.68
05/02/2015 16:30:00,315.03
06/02/2015 16:30:00,312.97
09/02/2015 16:30:00,309.54
10/02/2015 16:30:00,315.03
11/02/2015 16:30:00,310.57
12/02/2015 16:30:00,310.57
13/02/2015 16:30:00,324.12
16/02/2015 16:30:00,321.38
17/02/2015 16:30:00,316.57
18/02/2015 16:30:00,320.69
19/02/2015 16:30:00,330.13
20/02/2015 16:30:00,328.07
23/02/2015 16:30:00,326.01
24/02/2015 16:30:00,321.38
25/02/2015 16:30:00,322.23
26/02/2015 16:30:00,323.78
27/02/2015 16:30:00,325.67
02/03/2015 16:30:00,320.69
03/03/2015 16:30:00,321.55
04/03/2015 16:30:00,326.01
05/03/2015 16:30:00,338.02
06/03/2015 16:30:00,338.71
09/03/2015 16:30:00,341.62
10/03/2015 16:30:00,333.9
11/03/2015 16:30:00,334.93
12/03/2015 16:30:00,332.87
13/03/2015 16:30:00,332.7
16/03/2015 16:30:00,333.04
17/03/2015 16:30:00,331.67
18/03/2015 16:30:00,337.68
19/03/2015 16:30:00,337.16
20/03/2015 16:30:00,338.88
23/03/2015 16:30:00,338.71
24/03/2015 16:30:00,339.22
25/03/2015 16:30:00,336.65
26/03/2015 16:30:00,330.13
27/03/2015 16:30:00,325.15
30/03/2015 16:30:00,329.96
31/03/2015 16:30:00,327.04
01/04/2015 16:30:00,326.01
02/04/2015 16:30:00,323.78
07/04/2015 16:30:00,326.7
08/04/2015 16:30:00,323.95
09/04/2015 16:30:00,326.01
10/04/2015 16:30:00,334.59
13/04/2015 16:30:00,332.53
14/04/2015 16:30:00,334.07
15/04/2015 16:30:00,338.54
16/04/2015 16:30:00,336.3
17/04/2015 16:30:00,335.79
20/04/2015 16:30:00,336.99
21/04/2015 16:30:00,345.57
22/04/2015 16:30:00,359.64
23/04/2015 16:30:00,355.18
24/04/2015 16:30:00,360.33
27/04/2015 16:30:00,361.7
28/04/2015 16:30:00,356.21
29/04/2015 16:30:00,353.46
30/04/2015 16:30:00,358.95
01/05/2015 16:30:00,357.92
05/05/2015 16:30:00,355.18
06/05/2015 16:30:00,351.06
07/05/2015 16:30:00,349
08/05/2015 16:30:00,353.46
11/05/2015 16:30:00,350.03
12/05/2015 16:30:00,344.88
13/05/2015 16:30:00,344.88
14/05/2015 16:30:00,347.63
15/05/2015 16:30:00,347.63
18/05/2015 16:30:00,346.6
19/05/2015 16:30:00,346.26
20/05/2015 16:30:00,344.54
21/05/2015 16:30:00,346.94
22/05/2015 16:30:00,349.69
26/05/2015 16:30:00,346.26
27/05/2015 16:30:00,349.35
28/05/2015 16:30:00,348.32
29/05/2015 16:30:00,342.48
01/06/2015 16:30:00,342.31
02/06/2015 16:30:00,338.71
03/06/2015 16:30:00,338.71
04/06/2015 16:30:00,333.73
05/06/2015 16:30:00,333.39
08/06/2015 16:30:00,331.33
09/06/2015 16:30:00,330.13
10/06/2015 16:30:00,337.68
11/06/2015 16:30:00,336.82
12/06/2015 16:30:00,332.87
15/06/2015 16:30:00,324.29
16/06/2015 16:30:00,323.09
17/06/2015 16:30:00,315.2
18/06/2015 16:30:00,311.94
19/06/2015 16:30:00,310.91
22/06/2015 16:30:00,313.66
23/06/2015 16:30:00,312.8
24/06/2015 16:30:00,311.6
25/06/2015 16:30:00,310.05
26/06/2015 16:30:00,308.17
29/06/2015 16:30:00,306.11
30/06/2015 16:30:00,298.56
01/07/2015 16:30:00,305.42
02/07/2015 16:30:00,300.79
03/07/2015 16:30:00,293.92
06/07/2015 16:30:00,275.39
07/07/2015 16:30:00,260.64
08/07/2015 16:30:00,260.29
09/07/2015 16:30:00,259.78
10/07/2015 16:30:00,263.9
13/07/2015 16:30:00,266.98
14/07/2015 16:30:00,266.98
15/07/2015 16:30:00,268.19
16/07/2015 16:30:00,268.36
17/07/2015 16:30:00,267.67
20/07/2015 16:30:00,268.7
21/07/2015 16:30:00,262.7
22/07/2015 16:30:00,260.98
23/07/2015 16:30:00,258.58
24/07/2015 16:30:00,252.57
27/07/2015 16:30:00,246.39
28/07/2015 16:30:00,252.23
29/07/2015 16:30:00,250.68
30/07/2015 16:30:00,257.2
31/07/2015 16:30:00,272.48
03/08/2015 16:30:00,288.6
04/08/2015 16:30:00,282.77
05/08/2015 16:30:00,280.54
06/08/2015 16:30:00,280.54
07/08/2015 16:30:00,275.91
10/08/2015 16:30:00,277.11
11/08/2015 16:30:00,273.85
12/08/2015 16:30:00,274.53
13/08/2015 16:30:00,273.85
14/08/2015 16:30:00,273.68
17/08/2015 16:30:00,273.33
18/08/2015 16:30:00,271.1
19/08/2015 16:30:00,261.49
20/08/2015 16:30:00,261.15
21/08/2015 16:30:00,252.23
24/08/2015 16:30:00,246.91
25/08/2015 16:30:00,248.45
26/08/2015 16:30:00,245.19
27/08/2015 16:30:00,250.68
28/08/2015 16:30:00,255.15
01/09/2015 16:30:00,249.48
02/09/2015 16:30:00,251.2
03/09/2015 16:30:00,252.91
04/09/2015 16:30:00,247.42
07/09/2015 16:30:00,246.74
08/09/2015 16:30:00,248.97
09/09/2015 16:30:00,250.86
10/09/2015 16:30:00,248.8
11/09/2015 16:30:00,247.42
14/09/2015 16:30:00,246.05
15/09/2015 16:30:00,248.11
16/09/2015 16:30:00,247.08
17/09/2015 16:30:00,243.82
18/09/2015 16:30:00,237.47
21/09/2015 16:30:00,239.02
22/09/2015 16:30:00,235.24
23/09/2015 16:30:00,233.18
24/09/2015 16:30:00,223.23
25/09/2015 16:30:00,227.69
28/09/2015 16:30:00,226.49
29/09/2015 16:30:00,223.4
30/09/2015 16:30:00,232.32
01/10/2015 16:30:00,235.59
02/10/2015 16:30:00,241.76
05/10/2015 16:30:00,250
06/10/2015 16:30:00,253.26
07/10/2015 16:30:00,251.89
08/10/2015 16:30:00,255.83
09/10/2015 16:30:00,259.26
12/10/2015 16:30:00,249.14
13/10/2015 16:30:00,243.99
14/10/2015 16:30:00,239.7
