Date,Close
02/01/2015 17:30:00,88.01
05/01/2015 17:30:00,85.08
06/01/2015 17:30:00,85.83
07/01/2015 17:30:00,86.29
08/01/2015 17:30:00,89.39
09/01/2015 17:30:00,88.16
12/01/2015 17:30:00,88.65
13/01/2015 17:30:00,90.63
14/01/2015 17:30:00,88.78
15/01/2015 17:30:00,91.07
16/01/2015 17:30:00,93.59
19/01/2015 17:30:00,94.22
20/01/2015 17:30:00,94.74
21/01/2015 17:30:00,94.92
22/01/2015 17:30:00,98.04
23/01/2015 17:30:00,102.8
26/01/2015 17:30:00,105.25
27/01/2015 17:30:00,102
28/01/2015 17:30:00,103.1
29/01/2015 17:30:00,102.95
30/01/2015 17:30:00,103.4
02/02/2015 17:30:00,104.25
03/02/2015 17:30:00,106.3
04/02/2015 17:30:00,106.65
05/02/2015 17:30:00,106.65
06/02/2015 17:30:00,106.85
09/02/2015 17:30:00,102.5
10/02/2015 17:30:00,104.7
11/02/2015 17:30:00,104.45
12/02/2015 17:30:00,106.7
13/02/2015 17:30:00,107.8
16/02/2015 17:30:00,106.6
17/02/2015 17:30:00,106.75
18/02/2015 17:30:00,108.75
19/02/2015 17:30:00,109.45
20/02/2015 17:30:00,111.1
23/02/2015 17:30:00,111.65
24/02/2015 17:30:00,110.65
25/02/2015 17:30:00,109.65
26/02/2015 17:30:00,112
27/02/2015 17:30:00,113
02/03/2015 17:30:00,114.2
03/03/2015 17:30:00,111
04/03/2015 17:30:00,113
05/03/2015 17:30:00,114.5
06/03/2015 17:30:00,115.3
09/03/2015 17:30:00,114.35
10/03/2015 17:30:00,113.7
11/03/2015 17:30:00,119.35
12/03/2015 17:30:00,118.55
13/03/2015 17:30:00,119.95
16/03/2015 17:30:00,122.6
17/03/2015 17:30:00,121
18/03/2015 17:30:00,115.9
19/03/2015 17:30:00,116.6
20/03/2015 17:30:00,116.75
23/03/2015 17:30:00,113.75
24/03/2015 17:30:00,115.1
25/03/2015 17:30:00,114.15
26/03/2015 17:30:00,116.45
27/03/2015 17:30:00,116.1
30/03/2015 17:30:00,118
31/03/2015 17:30:00,116.45
01/04/2015 17:30:00,115.5
02/04/2015 17:30:00,114.95
07/04/2015 17:30:00,114.9
08/04/2015 17:30:00,113.25
09/04/2015 17:30:00,116.2
